Occupation,Theme,Cosine_Similarity
Accountant,Hegemony,0.06546850100904213
Accountant,Dominance,0.08063588310386602
Accountant,Influence,0.15662078891856315
Accountant,Control,0.277816061708373
Accountant,Elite,0.1998721969691555
Accountant,Authority,0.25400712069765896
Accountant,Sovereignty,0.1092834373866079
Accountant,Command,0.23541428131042494
Accountant,Impact,0.13545406792110107
Accountant,Gravitas,0.1877461559815021
Accountant,At the top of the hierarchy,0.18271678985970577
Accountant,Shaping public opinion,0.08640892792987234
Accountant,Pulling the strings,0.132719206004767
Accountant,A seat at the table,0.15622503881014163
Accountant,Setting the agenda,0.16232538788007633
Accountant,Wielding considerable power,0.1290202032974838
Accountant,A force to be reckoned with,0.15098036783458352
Accountant,In a position of authority,0.27522366992303904
Accountant,Having the final say,0.15283520034439793
Accountant,Commanding respect and attention,0.12804458814651265
Accountant,Peril,0.14116967311420875
Accountant,Hazard,0.18334079374364617
Accountant,Bravery,0.14932250280498888
Accountant,Valor,0.22255976586075285
Accountant,Audacity,0.25605170170773717
Accountant,Grit,0.1534205830201384
Accountant,Daredevil,0.19845448722057754
Accountant,Resilience,0.12803469720285163
Accountant,Fortitude,0.13453795101182162
Accountant,Tenacity,0.1228690068861517
Accountant,On the front lines,0.15089830130214574
Accountant,Facing the unknown,0.12477014099288891
Accountant,A high-stakes game,0.107394703059922
Accountant,Confronting danger head-on,0.10506685610057978
Accountant,Pushing the limits of safety,0.06227876553400886
Accountant,Where courage is essential,0.08143151343818326
Accountant,In harm's way,0.11755185138174465
Accountant,Against all odds,0.13940406181485793
Accountant,A test of will,0.07330111178114489
Accountant,Embracing the unpredictable,0.1103831950263147
Accountant,Empathy,0.17804717795187847
Accountant,Compassion,0.1816019253723245
Accountant,Nurture,0.15267179893524635
Accountant,Tenderness,0.13180753273733664
Accountant,Support,0.2352718218433909
Accountant,Healing,0.1553964033020732
Accountant,Solace,0.17485906856131817
Accountant,Guidance,0.21126699306666513
Accountant,Mentorship,0.18049352407308264
Accountant,Kindness,0.1503461769531237
Accountant,A shoulder to lean on,0.1542314084364506
Accountant,Providing emotional support,0.11592710707777082
Accountant,The art of listening,0.09743130711926791
Accountant,Caring for the vulnerable,0.12653322904621955
Accountant,Making a difference in people's lives,0.15195259524819732
Accountant,A healing touch,0.10820064247815778
Accountant,Offering comfort and care,0.13390813216193984
Accountant,A source of strength,0.1291574540511197
Accountant,Building trust and rapport,0.12054707949965864
Accountant,Fostering growth and well-being,0.10437632430720832
Accountant,Erudition,0.09751279944497136
Accountant,Sagacity,0.18649829268839502
Accountant,Insight,0.2211012728847943
Accountant,Enlightenment,0.12625462801338797
Accountant,Scholarship,0.21519957755247604
Accountant,Genius,0.29025586407161497
Accountant,Discernment,0.18346095844780053
Accountant,Foresight,0.18747642997355402
Accountant,Intuition,0.1795328951086481
Accountant,A deep well of knowledge,0.1318119267596856
Accountant,The pursuit of truth,0.10395208773942542
Accountant,Expanding the boundaries of understanding,0.07773433918074094
Accountant,A critical thinker,0.2600741560733533
Accountant,Imparting wisdom to others,0.15538046419943327
Accountant,A thirst for learning,0.09644160052834215
Accountant,Master of abstract thought,0.2113938579096514
Accountant,Solving complex problems,0.15189842667082937
Accountant,A beacon of intellectual curiosity,0.14418659101947848
Accountant,Unraveling the mysteries of the universe,0.10694982390955025
Accountant,Dexterity,0.19939539139883977
Accountant,Finesse,0.18086589721331375
Accountant,Artisan,0.3821463368229648
Accountant,Virtuoso,0.2882464674869519
Accountant,Mastery,0.1579836323372729
